Donor,variable,total_bilat,total_imha,eu_imha,prelim_source
Australia,2022,384.565366019391,32.7991573252873,0,DAC only
Austria,2022,165.402248215374,14.5701928631852,98.065198351166,DAC only
Belgium,2022,209.671150760207,54.9844348927321,180.984490327436,DAC only
Canada,2022,962.998310224732,102.765554943445,0,DAC only
Czech Republic,2022,34.5436202290141,0.617946043230001,52.0082202631449,DAC only
Denmark,2022,451.158541549807,0,85.0405061012183,FTS only
EU Institutions,2022,4274.84910470275,0,0,FTS only
Finland,2022,107.333593563247,29.2177588997904,66.4926649889568,FTS bilat + DAC imputed
France,2022,752.264257414519,0,749.699852228701,FTS only
Germany,2022,4525.05851707699,0,955.476344964439,FTS only
Greece,2022,0.79937969127892,0,56.222394993339,FTS only
Hungary,2022,44.6479337545011,1.32699340879139,4.54654049139232,DAC only
Iceland,2022,11.7623261918684,3.61368782913872,0,DAC only
Ireland,2022,198.910781110654,53.7323649201441,85.3989769462928,DAC only
Italy,2022,403.51934649923,57.7153650829919,545.019756143815,DAC only
Japan,2022,2009.21497432566,0,0,FTS only
Korea,2022,210.334142695824,24.7122452703331,0,DAC only
Lithuania,2022,37.4153249984261,0.323991847548758,14.7237022522632,DAC only
Luxembourg,2022,129.358627433203,0,13.9557691195078,FTS only
Netherlands,2022,350.89382245673,371.239909943874,243.643936055675,FTS bilat + DAC imputed
New Zealand,2022,37.489089072846,16.9595568498167,0,FTS bilat + DAC imputed
Norway,2022,620.376316223829,186.33051560189,0,FTS bilat + DAC imputed
Poland,2022,140.11618824834,1.46822535703864,174.483374791938,DAC only
Portugal,2022,39.2283437282521,1.21417381313578,62.1101642011302,DAC only
Slovak Republic,2022,6.98587417017678,0.182521515874857,26.0593109088478,DAC only
Slovenia,2022,8.73489727611112,0.212624852026028,16.0192024817008,DAC only
Spain,2022,162.44056243622,13.4288229657775,364.79173105665,DAC only
Sweden,2022,1071.56407403077,0,126.003446873421,FTS only
Switzerland,2022,510.899741414032,87.3831630826187,0,DAC only
United Kingdom,2022,1383.06028455882,206.247716268467,240.437826697162,DAC only
United States,2022,14786.1026646248,0,0,FTS only
